n1,n2,loan_id,user,market,collateral_deposited,went_below_sl,went_into_sl,sl_max_depth,went_below_then_above_sl,into_then_above_sl,time_in_sl,time_below_sl,total_loan_time,initial_debt,loan_start_time,loan_start_block,loan_end_time,loan_end_block,should_be_liquidated,end_debt
-32,-29,6,0x8B2B45eA8d497cDB8D6B23aD570B9D815252bB9D,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,31.198613672737338,True,True,1.0,True,True,720000,1929600,3573276,79964.77843747978,1704948467,18981408,1708521743,19276299,False,3134.8988012257287
-58,-55,3,0xfEe1dCAf98c023e906edC9C6D75bb8bB1763aa00,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,2.4,True,True,1.0,True,True,564996,3700800,23057556,8418.378665655926,1710534935,19442762,1733592491,21352102,False,8639.116633450798
-2,1,3,0x120a2d412144C323d5D76Ea793a87e09c8c773B5,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,2.0052240288955656,True,True,1.0,True,True,3532296,6497988,34556328,3699.788036544917,1688301779,17606689,1722858107,20462431,False,2362.6239792226306
-3,6,1,0xbc316835540651f30479C385362ddEcE8631B5b8,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,0.4185172854466759,True,True,1.0,True,True,5391420,5702400,49743420,773.2443704071279,1687688591,17556170,1737432011,21670336,False,847.2140582148144
10,13,2,0xE5a1AE8D954b81FD18CF2311af452142d9a7a54E,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,0.27345986565730135,True,True,1.0,True,True,835200,964800,41432640,456.52492328518247,1695999371,18242400,1737432011,21670336,False,567.9781953670137
-2,1,1,0xEf051367Dd5d4f91983172170eF8c1E88F004408,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,0.03540780164747729,True,True,1.0,True,True,3915108,6497988,49667496,66.08,1687764515,17562414,1737432011,21670336,False,74.2170531834915
-2,1,1,0xe5CfAD1C6977fCF1939Dd78015feb02f194f8B0e,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,0.03540780164747729,True,True,1.0,True,True,3915108,6497988,49667496,66.08,1687764515,17562414,1737432011,21670336,False,74.2170531834915
0,3,1,0xB84c9AFd863A732998c24301Ba4cF004d09a95C6,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,15.0,True,True,1.0,True,True,2800920,5832000,14002284,27441.0,1687808447,17566028,1701810731,18722743,False,44645.64282339864
-29,-26,3,0x8402Fd14A48e4aC8bAd29b51Eb2D465b1BD1639f,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,5.647377612138528,True,True,1.0,True,True,856620,7189248,18888192,14580.899825304326,1713280271,19669147,1732168463,21234147,False,12439.705916682979
-3,0,3,0xEC876b9d81eD4a18F248f9C8d24306a72f1339Fe,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,61.922309858531165,True,True,0.7365045321011426,True,True,1134972,57600,1554948,116704.51468952086,1687722251,17558941,1689277199,17687011,False,111033.6528632568
0,3,5,0xEC876b9d81eD4a18F248f9C8d24306a72f1339Fe,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,69.86425848080565,True,True,1.0,True,True,2478996,5832000,12532356,120443.53612696992,1689795683,17729681,1702328039,18765470,False,80370.22161104096
11,14,2,0xa3644981952E61AcfAE9D8f8a03Da386a70b8eE2,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,11.751998576274483,True,True,1.0,True,True,3190944,1065600,4973988,19378.001613003387,1693111091,18003966,1698085079,18415001,False,6839.866803224361
10,13,2,0xc2eA469CF3464EB7fb26821c1547AFC3314760fA,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,21.403101480248992,True,True,1.0,True,True,3447504,1713600,9621852,20955.0,1692435371,17948067,1702057223,18743090,False,23617.14617197957
-2,1,1,0x6b141F3a77Bce95fddD955eCF6653B2E98344Bd7,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,8.471979212153563,True,True,1.0,True,True,2943228,6497988,19283172,15839.0,1689240395,17683981,1708523567,19276451,False,22246.023754978716
-64,-61,4,0x6b141F3a77Bce95fddD955eCF6653B2E98344Bd7,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,8.471979212153563,True,True,1.0,True,True,1580400,9590400,13132368,28029.717514183387,1709737643,19376923,1722870011,20463419,False,22605.11448914274
1,4,1,0x81e9457a8E9B2e5ed83C582465CeF41aF638f5ba,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,19.178554400126693,True,True,1.0,True,True,1423416,5817600,20015724,34867.956835070094,1690902011,17821206,1710917735,19474266,False,23000.0
10,13,4,0xbA6294C1823222953f28387ec70BAb6973236686,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,21.87797718961928,True,True,1.0,True,True,3326028,1713600,9626796,36426.823355740926,1692428795,17947523,1702055591,18742956,False,39247.831079649884
-32,-29,2,0xC33C69DdBA3970b021FF54581c0748eE135BF66e,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,15.989378354669526,True,True,1.0,True,True,720000,1929600,3573528,42103.58380515129,1704948887,18981443,1708522415,19276355,False,4589.916840006625
-27,-18,26,0x1198F679f78738B4290aaC5ae3A5AC4d0FB3e8BA,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,24.916880713382614,True,True,1.0,True,True,1483200,187200,2376708,49547.18046370791,1705431263,19021369,1707807971,19217497,False,47727.67045864361
-2,1,3,0x4914aA190AE4E4Ae77E91F5d568F8Cb463174d5D,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,5.445138565088647,True,True,1.0,True,True,3825852,6497988,14168136,10265.21670316828,1687853783,17569761,1702021919,18740168,False,10146.611984445
-20,-17,6,0x4914aA190AE4E4Ae77E91F5d568F8Cb463174d5D,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,5.445138565088647,True,True,1.0,True,True,767544,38856,2460948,11169.88318096992,1705611587,19036287,1708072535,19239312,False,11792.356791560265
4,7,3,0xEc4aCD7C1D7E24bD47DBdef8B6D4aD117185863F,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,20.176858615043365,True,True,1.0,True,True,544776,244800,1338828,35708.66235775609,1686512447,17459295,1687851275,17569557,False,33872.37180075881
4,7,3,0xC0B9Bb62c3e793fb63A1488CE1D2bBaD5aF25E42,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,25.59346948307543,True,True,1.0,True,True,537756,251772,1338924,45306.97051589491,1686512495,17459299,1687851419,17569569,False,42964.599217188224
4,7,3,0x097fE8778C03aD6ac6861ea4927a7eB42b7f78CF,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,22.748836092200115,True,True,1.0,True,True,544680,244800,1339044,40261.277508310945,1686512543,17459303,1687851587,17569583,False,38190.019131803114
4,7,3,0x51764EAb6672b3279f85428324dd64a3c2065D18,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,28.398254013412622,True,True,1.0,True,True,544440,244800,1338900,50263.53118315439,1686512783,17459323,1687851683,17569591,False,47673.53282972604
4,7,3,0x0594deA6aD7A6Afb0657DE956F7dC9039a96cbDf,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,24.918918991311376,True,True,1.0,True,True,544404,244800,1338972,44106.57173022798,1686512819,17459326,1687851791,17569599,False,41832.719833997624
4,7,3,0x15739dd2F017EF743f2C3d7F9df1eE160EF3815D,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,17.84299779735437,True,True,1.0,True,True,534936,254340,6258072,31579.209773369952,1686512747,17459320,1692770819,17975812,False,37100.0
4,7,3,0x156F74DD2A95C5d8148E7706488aE641D8D2eB83,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,26.846596483216164,True,True,1.0,True,True,548064,241812,6636276,47521.24863746589,1686512147,17459270,1693148423,18007051,False,25660.0
11,16,4,0x156F74DD2A95C5d8148E7706488aE641D8D2eB83,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,17.428196259754344,True,True,1.0,True,True,7347996,28800,1890660,25660.0,1693148423,18007051,1695039083,18163031,False,23183.181397790097
-4,-1,24,0x653aED4503e3a3F060C744fE85DC780CE549D3C3,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,28.393142117629516,True,True,1.0,True,True,2375100,8462964,11082600,54610.2209907193,1688483711,17621675,1699566311,18537155,False,51401.561969482405
-10,-7,25,0x653aED4503e3a3F060C744fE85DC780CE549D3C3,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,28.393142117629516,True,True,1.0,True,True,691200,158400,2112984,51401.561969482405,1699566311,18537155,1701679295,18711873,False,51133.80402766337
-18,-15,26,0x653aED4503e3a3F060C744fE85DC780CE549D3C3,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,28.393142117629516,True,True,1.0,True,True,532800,14400,1778340,51133.80402766337,1701679295,18711873,1703457635,18858660,False,47479.0459386422
-33,-30,29,0x653aED4503e3a3F060C744fE85DC780CE549D3C3,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,28.393142117629516,True,True,1.0,True,True,604800,2160000,3633132,52829.118768893495,1704984083,18984344,1708617215,19284161,False,55366.38271073698
4,7,3,0xDa1dCA25F2AfF335EF97b6506530FeB020374054,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,3.1509358136328323,True,True,1.0,True,True,230400,5601600,14477388,5606.490104536386,1690708427,17805182,1705185815,19001027,False,11348.35586646463
1,4,2,0x1645Fe8C025A9E2169D709dd09836f4d53396A3E,0x100dAa78fC509Db39Ef7D04DE0c1ABD299f4C6CE,9.230417967872777,True,True,1.0,True,True,1472400,5817600,8996856,16776.493565048208,1690087955,17753850,1699084811,18497344,False,6064.690546013061
-57,-54,4,0x370C9870c9d7659a854831E0447febC340FdaED5,0x4e59541306910aD6dC1daC0AC9dFB29bD9F15c67,10.0000069,True,True,1.0,True,True,576000,302400,2160216,523052.2092572797,1719656303,20196996,1721816519,20376073,False,546767.35688623
-54,-51,5,0x8876B3271DC005fFE3E103A069672F9ED89ba200,0x4e59541306910aD6dC1daC0AC9dFB29bD9F15c67,3.61538409,True,True,1.0,True,True,777444,446556,2019936,57524.694592667984,1724817383,20624839,1726837319,20792266,False,84385.53674431666
