n1,n2,loan_id,user,market,collateral_deposited,went_below_sl,went_into_sl,sl_max_depth,went_below_then_above_sl,into_then_above_sl,time_in_sl,time_below_sl,total_loan_time,initial_debt,loan_start_time,loan_start_block,loan_end_time,loan_end_block,should_be_liquidated,end_debt
11,31,1,0x961Eed3b7d4B7c261EE5B023E5F857af5aF1E700,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,7.940531681354996,False,True,0.24776772738887295,False,True,1756800,0,5121036,11000.0,1692332975,17939600,1697454011,18362795,False,11084.437673323757
0,9,1,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,12.669423054478044,False,True,0.0,False,False,744,0,756,20556.267670158293,1685086619,17342130,1685087375,17342193,False,37356.2751758344
-5,4,3,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,30.418862742840766,False,True,0.027168305336014446,False,False,173220,0,173220,51904.71660681783,1685309567,17360511,1685482787,17374768,False,74384.89497418876
-2,7,4,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,44.99544629727551,False,True,0.0,False,False,17856,0,37092,74384.89497418876,1685482787,17374768,1685519879,17377815,False,81387.64639839239
-1,8,5,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,49.9840299873214,False,True,0.0,False,True,14400,0,392700,81387.64639839239,1685519879,17377815,1685912579,17410072,False,82526.54950968898
-2,7,6,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,49.9840299873214,False,True,0.15429673457488025,False,True,231168,0,295812,82526.54950968898,1685912579,17410072,1686208391,17434331,False,82544.8169688209
-1,8,7,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,50.84658761808595,True,True,1.0,True,True,978432,158400,1209372,82544.8169688209,1686208391,17434331,1687417763,17533883,False,80723.58782528683
-4,5,8,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,50.84658761808595,False,True,0.21749799129247613,False,True,690648,0,1004688,80723.58782528683,1687417763,17533883,1688422451,17616633,False,89847.71682720305
-7,2,9,0x63Fe1742192f07D67739cc0f091645a2A50804E1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,55.120761066844786,True,True,1.0,False,True,3746772,4694400,8541960,89847.71682720305,1688422451,17616633,1696964411,18322300,False,84734.77376994705
13,23,3,0x53e213da8C28d85dc6663c3b5e35Bb0ffBb05752,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,32.45136818213682,False,True,0.3079269481254122,False,True,379680,0,8056056,46000.02334517612,1688865155,17653110,1696921211,18318723,False,43096.82746007288
13,22,1,0xfC4BCB1bbd09fEF946a18f695135A641980161Be,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,28.215113291559547,False,True,0.3398046745202306,False,True,345600,0,9384804,40100.0,1687493207,17540095,1696878011,18315155,False,40659.424397176204
8,23,2,0x3Da232a0c0A5C59918D7B5fF77bf1c8Fc93aeE1B,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,32.52777959506796,False,True,0.44780443069024223,False,True,4052628,0,4498068,40000.0,1692365543,17942289,1696863611,18313966,False,38730.905061506746
13,22,1,0xb8D9F9069aD902df16Db85c0563B1095B997F225,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.10573761991309225,False,True,0.23358664959605993,False,True,331200,0,12469164,150.0,1684394447,17285211,1696863611,18313966,False,152.65040322758645
13,22,1,0x9f551d9eCA6E3fAAde610357AdeB8d5822ee0FBe,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,1.0539989276282777,False,True,0.23358664959606004,False,True,331200,0,11123184,1500.0,1685740427,17395930,1696863611,18313966,False,1524.5829883351726
9,18,4,0x5eaA8bdc315608E8Cf873CFAbA05e42826f68C4d,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,66.64028502203888,False,True,0.0,False,False,180,0,180,99435.61773487927,1693290467,18018789,1693290647,18018803,False,91435.63225072018
5,14,6,0x5eaA8bdc315608E8Cf873CFAbA05e42826f68C4d,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,59.14028502203889,False,True,0.0,False,False,348,0,348,91443.09449874722,1693373459,18025645,1693373807,18025673,False,80856.31526481865
1,10,1,0xF9A2Fa22CB7Df26E3a10622C696f37fC345c6239,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,97.94706648390212,False,True,0.0,False,True,85308,0,343164,157327.30283380323,1685026811,17337205,1685369975,17365489,False,176963.28578239967
-5,4,2,0xF9A2Fa22CB7Df26E3a10622C696f37fC345c6239,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,103.70568604695814,True,True,1.0,True,True,2896848,734400,3900996,176963.28578239967,1685369975,17365489,1689270971,17686496,False,169731.90172260196
-7,2,3,0xF9A2Fa22CB7Df26E3a10622C696f37fC345c6239,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,108.19361200978688,True,True,1.0,False,False,2923200,3139200,6138240,169731.90172260196,1689270971,17686496,1695409211,18193616,False,163058.99890197872
-2,20,5,0xE39516C6eCB2C94E181Fb5b6822D70278fc76545,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,47.50140734694011,False,True,0.0,False,False,628320,0,648,74300.0,1691595623,17878596,1691596271,17878650,False,74300.08554848756
