n1,n2,loan_id,user,market,collateral_deposited,went_below_sl,went_into_sl,sl_max_depth,went_below_then_above_sl,into_then_above_sl,time_in_sl,time_below_sl,total_loan_time,initial_debt,loan_start_time,loan_start_block,loan_end_time,loan_end_block,should_be_liquidated,end_debt
1,4,3,0x7B820a9e6c5A9d1344076B4B410FFB92741e7Fb0,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,44.1338011716224,True,True,1.0,True,True,228228,736572,1075620,73069.38956937891,1686341591,17445260,1687417211,17533837,False,66912.36218163921
1,10,1,0xFA32E13FCB7A233fE26Ae6A66F3166861181D39B,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,4.790142720224545,True,True,0.8403420877148907,False,False,917244,43200,960444,7703.749117181782,1686370367,17447623,1687330811,17526709,False,7287.024042490542
-1,2,5,0xadde229446E89121D8B62c047D56B26440B0001D,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,23.712160361365143,True,True,1.0,False,True,408996,748800,1892184,40040.08234242864,1685222627,17353339,1687114811,17508899,False,36031.79784566697
-2,7,2,0xEa0E065560333D66A3F9Aa648E63848B86d3362A,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,13.005559842190163,True,True,1.0,False,False,688704,158400,847104,21393.84471172076,1686123707,17427378,1686970811,17497009,False,21415.81377532973
0,9,4,0x3e909f4eba38Ddc71Aa72E1Ba3bE7eDd312818C2,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,52.585260467365764,True,True,0.9429774814453683,False,True,585996,72000,701196,85077.92364383797,1686269615,17439343,1686970811,17497009,False,85149.44560990587
-4,5,1,0x5Bb967A3B3E2EB96487d23F3bf281c38f91aBc8a,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.9501452583514722,True,True,1.0,False,False,682536,158400,840936,1606.2713535599817,1686086675,17424343,1686927611,17493444,False,1607.9281615901807
1,10,1,0xb0f0b978579C9430b2299fe5B8791c5ad2a96a0e,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,4.609065865866216,True,True,0.8403366416470169,False,True,751236,43200,1987200,7402.911870674039,1684940411,17330094,1686927611,17493444,False,7417.6349222794315
0,9,1,0x8DB8aFC83F813C5738872FbDdd96ed30A3938d91,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.09501195528951177,True,True,0.9429774814453682,False,True,818292,72000,1869492,154.15596508930017,1685058119,17339780,1686927611,17493444,False,154.4527589354011
0,9,1,0x4126137eabf88D6C7BD48B04ece7c1EB0D1B0291,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,3.0674344023262643,True,True,0.9429774814453683,False,True,576000,72000,871428,4981.217033523958,1686056183,17421839,1686927611,17493444,False,4986.465436568657
-2,7,2,0xBb0f82C75965C601519e926e66d839B16e5FF60d,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,45.03986455320219,True,True,1.0,False,False,496056,115200,611244,74643.26880343583,1686273167,17439637,1686884411,17489884,False,74702.83984003142
-1,8,1,0xEA9F0E9cd703f883861499F5eD9B3ba9F786b3ad,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,18.717294145421487,True,True,1.0,False,True,863412,72000,1669812,30677.057416140826,1685171399,17349114,1686841211,17486328,False,30733.64874668571
0,9,1,0x5d9fF4191297436cAB2d2464E10d6b809278bd0f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,3.3629558502627965,True,True,0.9428307515735926,False,True,1103136,72000,2240736,5454.200384820026,1684600475,17302152,1686841211,17486328,False,5466.726765874596
0,4,1,0xa506a71489eCf13b3644520ac86326c33016AB1e,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.4792101297592609,True,True,0.7812135140601965,False,True,230400,216000,534696,794.1027935244447,1686220115,17435297,1686754811,17479225,False,794.7350446334635
-5,4,1,0x56a74B2d93F2C77d6381E9cE5a74Fc6e5a3A57F1,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.23025047053609435,True,True,0.8891170132591547,False,False,981624,129600,1111224,390.0,1685499587,17376146,1686610811,17467384,False,390.4575027188244
1,4,1,0xc4E86fD0B7783b43385de7213c2c8d541bA6aeF0,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,2.191723854079e-06,True,True,0.726146674185604,False,True,337956,129600,1656000,0.003626793614549559,1684954811,17331283,1686610811,17467384,False,0.003632179951042653
0,3,1,0xaC903D967002513E5CFE7cbF1881c9C11B56AF4D,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.9595911799025885,True,True,0.9820946295078733,False,True,172800,216000,1242624,1600.0,1685353787,17364157,1686596411,17466200,False,1601.993321995931
-5,4,1,0x0c2A79952279176fE646a01650835843fC226A2f,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,2.876986431064101,True,True,0.8896366022748003,False,False,721416,115200,836616,4911.554749529895,1685759795,17397527,1686596411,17466200,False,4915.35070380963
0,3,1,0x52454B3CBC8B2f5B8070e6Bb2f40491A09EAE69c,0x8472A9A7632b173c8Cf3a86D3afec50c35548e76,0.38439255106500164,True,True,0.8630239440657065,False,True,755340,43200,1864140,642.2277398056558,1684545071,17297587,1686409211,17450816,False,643.3418949521581
